County,c2002,c2007,c2012,c2017,Tau_MK,p_MK,Monotonic
CAROLINE,0.390030046,1.159397374,0.393076642,1.815653037,0.667,0.308,N
AUGUSTA,3.317371315,2.240057741,2.425475179,6.054707959,0.333,0.734,N
ISLE OF WIGHT,3.429538462,1.888211382,45.31652174,3.930379747,0.333,0.734,N
SPOTSYLVANIA,2.083058124,0.420762878,0.652941176,219.9589041,0.333,0.734,N
CLARKE,1.921728972,5.262727273,1.622155432,2.441425121,0,1,N
NELSON,1.021027429,-0.245938313,-0.035836981,0.091984314,0,1,N
ROCKINGHAM,7.859499596,11.42130707,3.203038416,9.696296879,0,1,N
KING AND QUEEN,0.626717528,-1,-1,0.400252407,-0.183,1,N
ACCOMACK,0.637130015,0.96319786,-0.258794428,0.392689372,-0.333,0.734,N
AMELIA,10.36127147,17.36107391,1.323274854,8.836241036,-0.333,0.734,N
CHARLES CITY,1.613912979,28.40420168,0.727172093,0.781652271,-0.333,0.734,N
CULPEPER,66.74209246,0.706608039,2.186003743,1.976308403,-0.333,0.734,N
DINWIDDIE,39.05620776,9.075358113,34.48520636,22.29210704,-0.333,0.734,N
KING WILLIAM,9.636401644,1.095279026,0.7597055,1.783724785,-0.333,0.734,N
MIDDLESEX,26.45074627,1.793344815,1.620045045,4.140687807,-0.333,0.734,N
PAGE,2.666898712,9.239934265,8.602040816,0.870450098,-0.333,0.734,N
POWHATAN,211.2931034,3.360606061,9.495,4.63255814,-0.333,0.734,N
SHENANDOAH,18.7932424,9.826984763,8.034730914,10.66684992,-0.333,0.734,N
SUFFOLK CITY,1.694497699,0.444236812,-0.033456131,0.852702099,-0.333,0.734,N
SURRY,14.06569178,12.08748331,21.96957494,8.513026373,-0.333,0.734,N
HANOVER,4.638950424,4.834122936,1.990183655,1.844252823,-0.667,0.308,N
MONTGOMERY,8.387647059,3.425440481,1.753294234,2.621856512,-0.667,0.308,N
NORTHAMPTON,6.441768957,4.681867508,2.356868822,4.589950891,-0.667,0.308,N
PRINCE WILLIAM,206.9852941,133.0691489,10.40447069,29.82112647,-0.667,0.308,N
SOUTHAMPTON,27.86585366,6.188013521,6.594018287,3.526054268,-0.667,0.308,N
SUSSEX,16.88238342,20.63051917,7.994421977,0.468950267,-0.667,0.308,N
WESTMORELAND,1.45975188,0.204790688,1.425658968,0.107469138,-0.667,0.308,N
