"","GEOID","COUNTYFP","NAMELSAD","Facility_withdrawal_mg"
"8","51015","015","Augusta County",424.6243
"20","51037","037","Charlotte County",15.3
"26","51051","051","Dickenson County",NA
"27","51053","053","Dinwiddie County",17.00596
"34","51069","069","Frederick County",0
"36","51073","073","Gloucester County",NA
"42","51085","085","Hanover County",560.29
"49","51099","099","King George County",216.35
"61","51125","125","Nelson County",424.98
"63","51131","131","Northampton County",881.534113
"66","51137","137","Orange County",11
"70","51145","145","Powhatan County",4
"72","51149","149","Prince George County",0
"77","51161","161","Roanoke County",0
"85","51177","177","Spotsylvania County",10.2
"89","51185","185","Tazewell County",NA
"95","51199","199","York County",NA
"4","51007","007","Amelia County",85.5
"9","51017","017","Bath County",NA
"10","51019","019","Bedford County",11.55
"12","51023","023","Botetourt County",NA
"17","51033","033","Caroline County",792.39
"19","51036","036","Charles City County",405.611
"21","51041","041","Chesterfield County",22.9
"28","51057","057","Essex County",351.4
"33","51067","067","Franklin County",0
"41","51083","083","Halifax County",2.139
"45","51091","091","Highland County",NA
"47","51095","095","James City County",NA
"53","51107","107","Loudoun County",0.4321
"55","51111","111","Lunenburg County",6.76
"62","51127","127","New Kent County",56.3
"64","51133","133","Northumberland County",NA
"69","51143","143","Pittsylvania County",27.140785
"76","51159","159","Richmond County",NA
"79","51165","165","Rockingham County",578.196
"84","51175","175","Southampton County",159.7402
"86","51179","179","Stafford County",0
"90","51187","187","Warren County",NA
"31","51063","063","Floyd County",21.1
"43","51087","087","Henrico County",100.69
"3","51005","005","Alleghany County",NA
"15","51029","029","Buckingham County",NA
"44","51089","089","Henry County",NA
"68","51141","141","Patrick County",0
"92","51193","193","Westmoreland County",380.14
"40","51081","081","Greensville County",32.252
"52","51105","105","Lee County",NA
"93","51195","195","Wise County",NA
"56","51113","113","Madison County",NA
"51","51103","103","Lancaster County",NA
"75","51157","157","Rappahannock County",NA
"2","51003","003","Albemarle County",NA
"16","51031","031","Campbell County",57.88
"29","51059","059","Fairfax County",0
"60","51121","121","Montgomery County",65.645
"74","51155","155","Pulaski County",NA
"46","51093","093","Isle of Wight County",5.75
"82","51171","171","Shenandoah County",31.96
"14","51027","027","Buchanan County",NA
"50","51101","101","King William County",352.326
"71","51147","147","Prince Edward County",0.05148
"91","51191","191","Washington County",NA
"120","51720","720","Norton city",NA
"123","51740","740","Portsmouth city",NA
"130","51810","810","Virginia Beach city",0
"73","51153","153","Prince William County",47.42
"37","51075","075","Goochland County",0
"87","51181","181","Surry County",22.35
"39","51079","079","Greene County",NA
"6","51011","011","Appomattox County",NA
"13","51025","025","Brunswick County",0
"22","51043","043","Clarke County",46.58
"65","51135","135","Nottoway County",NA
"108","51630","630","Fredericksburg city",NA
"25","51049","049","Cumberland County",NA
"116","51685","685","Manassas Park city",NA
"99","51540","540","Charlottesville city",NA
"101","51570","570","Colonial Heights city",NA
"106","51610","610","Falls Church city",NA
"128","51790","790","Staunton city",NA
"132","51830","830","Williamsburg city",NA
"83","51173","173","Smyth County",0
"96","51510","510","Alexandria city",NA
"7","51013","013","Arlington County",NA
"23","51045","045","Craig County",0
"102","51580","580","Covington city",NA
"105","51600","600","Fairfax city",NA
"94","51197","197","Wythe County",NA
"57","51115","115","Mathews County",NA
"81","51169","169","Scott County",NA
"110","51650","650","Hampton city",NA
"114","51680","680","Lynchburg city",NA
"115","51683","683","Manassas city",NA
"100","51550","550","Chesapeake city",0
"32","51065","065","Fluvanna County",NA
"97","51520","520","Bristol city",NA
"124","51750","750","Radford city",NA
"125","51760","760","Richmond city",1.39
"11","51021","021","Bland County",NA
"133","51840","840","Winchester city",NA
"88","51183","183","Sussex County",71.71
"103","51590","590","Danville city",NA
"131","51820","820","Waynesboro city",NA
"129","51800","800","Suffolk city",133.01
"18","51035","035","Carroll County",0
"112","51670","670","Hopewell city",NA
"98","51530","530","Buena Vista city",NA
"35","51071","071","Giles County",NA
"126","51770","770","Roanoke city",NA
"127","51775","775","Salem city",NA
"107","51620","620","Franklin city",NA
"119","51710","710","Norfolk city",NA
"122","51735","735","Poquoson city",NA
"111","51660","660","Harrisonburg city",NA
"109","51640","640","Galax city",NA
"118","51700","700","Newport News city",NA
"38","51077","077","Grayson County",NA
"5","51009","009","Amherst County",NA
"24","51047","047","Culpeper County",93.1449
"59","51119","119","Middlesex County",88.8
"67","51139","139","Page County",51.94
"121","51730","730","Petersburg city",1
"48","51097","097","King and Queen County",246.17
"117","51690","690","Martinsville city",NA
"80","51167","167","Russell County",0
"104","51595","595","Emporia city",NA
"113","51678","678","Lexington city",NA
"30","51061","061","Fauquier County",NA
"58","51117","117","Mecklenburg County",0
"1","51001","001","Accomack County",3465.538315
"54","51109","109","Louisa County",NA
"78","51163","163","Rockbridge County",0
